GENE	CCLE_CELL	BF
POLE4	NCIH1581_LUNG	-20.318
POLG	NCIH1581_LUNG	13.124
POLG2	NCIH1581_LUNG	5.753
REV3L	NCIH1581_LUNG	12.785
MAD2L2	NCIH1581_LUNG	34.934
POLA2	SKBR3_BREAST	33.969
POLB	SKBR3_BREAST	-28.038
POLD1	SKBR3_BREAST	29.48
POLD2	SKBR3_BREAST	9.971
POLD3	SKBR3_BREAST	32.756
POLD4	SKBR3_BREAST	-16.632
POLE	SKBR3_BREAST	23.794
POLE4	SKBR3_BREAST	-13.578
POLH	SKBR3_BREAST	-5.168
POLE2	SKBR3_BREAST	48.766
POLG	SKBR3_BREAST	-18.251
POLI	SKBR3_BREAST	-37.862
POLE3	SKBR3_BREAST	-12.725
POLG2	SKBR3_BREAST	-6.532
POLK	SKBR3_BREAST	-19.792
POLL	SKBR3_BREAST	-14.599
POLM	SKBR3_BREAST	-10.892
POLN	SKBR3_BREAST	-28.25
POLQ	SKBR3_BREAST	-6.463
REV3L	SKBR3_BREAST	-7.485
MAD2L2	SKBR3_BREAST	10.214
POLA2	T24_URINARY_TRACT	13.169
POLB	T24_URINARY_TRACT	-34.456
POLD1	T24_URINARY_TRACT	23.904
POLD2	T24_URINARY_TRACT	24.512
POLD3	T24_URINARY_TRACT	35.208
POLD4	T24_URINARY_TRACT	-17.323
POLE	T24_URINARY_TRACT	13.194
POLE2	T24_URINARY_TRACT	62.855
POLE3	T24_URINARY_TRACT	-8.502
POLE4	T24_URINARY_TRACT	-5.932
REV3L	T24_URINARY_TRACT	11.852
POLG	T24_URINARY_TRACT	-5.448
POLG2	T24_URINARY_TRACT	17.47
POLH	T24_URINARY_TRACT	-5.857
POLI	T24_URINARY_TRACT	-41.814
POLK	T24_URINARY_TRACT	-7.683
POLL	T24_URINARY_TRACT	-10.985
POLM	T24_URINARY_TRACT	-17.023
POLN	T24_URINARY_TRACT	-25.25
MAD2L2	T24_URINARY_TRACT	32.349
POLQ	T24_URINARY_TRACT	-9.314
POLE2	NCIH1693_LUNG	35.954
POLE3	NCIH1693_LUNG	-25.185
POLE4	NCIH1693_LUNG	-20.667
POLG	NCIH1693_LUNG	-26.227
POLG2	NCIH1693_LUNG	-11.876
POLH	NCIH1693_LUNG	-10.911
POLI	NCIH1693_LUNG	-34.396
POLK	NCIH1693_LUNG	-16.2
POLN	NCIH1693_LUNG	-19.304
POLA2	NCIH1693_LUNG	15.083
POLD2	NCIH1693_LUNG	15.954
POLL	NCIH1693_LUNG	-25.943
POLQ	NCIH1693_LUNG	-6.453
POLB	NCIH1693_LUNG	-32.351
POLD3	NCIH1693_LUNG	53.96
POLM	NCIH1693_LUNG	-23.905
POLD1	NCIH1693_LUNG	43.593
POLD4	NCIH1693_LUNG	-4.947
POLE	NCIH1693_LUNG	47.561
REV3L	NCIH1693_LUNG	11.52
MAD2L2	NCIH1693_LUNG	6.184
POLE2	PATU8988S_PANCREAS	47.489
POLL	PATU8988S_PANCREAS	-17.314
POLE3	PATU8988S_PANCREAS	-7.214
POLM	PATU8988S_PANCREAS	-13.076
POLE4	PATU8988S_PANCREAS	-12.478
POLN	PATU8988S_PANCREAS	-17.729
POLG	PATU8988S_PANCREAS	9.489
POLA2	PATU8988S_PANCREAS	23.131
POLQ	PATU8988S_PANCREAS	-11.51
POLB	PATU8988S_PANCREAS	-15.209
POLD2	PATU8988S_PANCREAS	29.948
POLD3	PATU8988S_PANCREAS	35.181
POLD4	PATU8988S_PANCREAS	-13.645
POLG2	PATU8988S_PANCREAS	7.919
POLE	PATU8988S_PANCREAS	35.014
POLD1	PATU8988S_PANCREAS	31.429
POLH	PATU8988S_PANCREAS	-20.967
POLI	PATU8988S_PANCREAS	-43.984
POLK	PATU8988S_PANCREAS	-24.149
MAD2L2	PATU8988S_PANCREAS	28.161
REV3L	PATU8988S_PANCREAS	-3.897
MAD2L2	CH157MN_CENTRAL_NERVOUS_SYSTEM	36.7
REV3L	CH157MN_CENTRAL_NERVOUS_SYSTEM	14.161
POLN	CH157MN_CENTRAL_NERVOUS_SYSTEM	-18.802
POLA2	CH157MN_CENTRAL_NERVOUS_SYSTEM	6.542
POLE2	CH157MN_CENTRAL_NERVOUS_SYSTEM	55.752
POLL	CH157MN_CENTRAL_NERVOUS_SYSTEM	-15.919
POLQ	CH157MN_CENTRAL_NERVOUS_SYSTEM	3.426
POLB	CH157MN_CENTRAL_NERVOUS_SYSTEM	-19.86
POLE3	CH157MN_CENTRAL_NERVOUS_SYSTEM	16.798
POLM	CH157MN_CENTRAL_NERVOUS_SYSTEM	-15.828
POLD1	CH157MN_CENTRAL_NERVOUS_SYSTEM	5.987
POLE4	CH157MN_CENTRAL_NERVOUS_SYSTEM	-7.258
POLD2	CH157MN_CENTRAL_NERVOUS_SYSTEM	26.95
POLG	CH157MN_CENTRAL_NERVOUS_SYSTEM	8.954
POLD3	CH157MN_CENTRAL_NERVOUS_SYSTEM	43.031
POLG2	CH157MN_CENTRAL_NERVOUS_SYSTEM	12.418
POLD4	CH157MN_CENTRAL_NERVOUS_SYSTEM	-24.366
POLH	CH157MN_CENTRAL_NERVOUS_SYSTEM	-0.601
POLI	CH157MN_CENTRAL_NERVOUS_SYSTEM	-29.748
POLK	CH157MN_CENTRAL_NERVOUS_SYSTEM	-19.379
POLE	CH157MN_CENTRAL_NERVOUS_SYSTEM	39.75
REV3L	KPL1_BREAST	20.846
MAD2L2	KPL1_BREAST	26.02
POLD4	KPL1_BREAST	-12.123
POLA2	KPL1_BREAST	22.753
POLB	KPL1_BREAST	-30.331
POLE	KPL1_BREAST	37.738
POLD1	KPL1_BREAST	34.193
POLE2	KPL1_BREAST	44.28
POLD2	KPL1_BREAST	-3.703
POLL	KPL1_BREAST	-12.702
POLE3	KPL1_BREAST	13.613
POLD3	KPL1_BREAST	49.447
POLM	KPL1_BREAST	-20.456
POLE4	KPL1_BREAST	-0.659
POLN	KPL1_BREAST	-23.185
POLG	KPL1_BREAST	-7.268
POLQ	KPL1_BREAST	-3.218
POLG2	KPL1_BREAST	-4.276
POLH	KPL1_BREAST	-9.034
POLI	KPL1_BREAST	-31.601
POLK	KPL1_BREAST	-14.993
REV3L	PC14_LUNG	9.252
POLA2	PC14_LUNG	18.514
POLE2	PC14_LUNG	49.235
POLB	PC14_LUNG	-36.966
POLE3	PC14_LUNG	-16.642
POLD1	PC14_LUNG	61.836
POLE4	PC14_LUNG	-21.9
POLH	PC14_LUNG	-17.294
POLD2	PC14_LUNG	19.207
POLG	PC14_LUNG	-0.771
POLI	PC14_LUNG	-28.147
POLD3	PC14_LUNG	34.053
POLG2	PC14_LUNG	3.169
POLK	PC14_LUNG	-22.123
POLD4	PC14_LUNG	-15.722
POLL	PC14_LUNG	-14.707
POLM	PC14_LUNG	-16.559
POLE	PC14_LUNG	34.871
POLN	PC14_LUNG	-16.937
POLQ	PC14_LUNG	-9.912
MAD2L2	PC14_LUNG	25.81
REV3L	NCIH1650_LUNG	20.973
POLN	NCIH1650_LUNG	-29.598
POLQ	NCIH1650_LUNG	7.079
POLE2	NCIH1650_LUNG	46.097
POLE3	NCIH1650_LUNG	-7.849
POLE4	NCIH1650_LUNG	-16.451
POLG	NCIH1650_LUNG	-3.282
POLG2	NCIH1650_LUNG	7.276
POLH	NCIH1650_LUNG	-10.094
POLD2	NCIH1650_LUNG	12.788
POLL	NCIH1650_LUNG	-13.329
POLD4	NCIH1650_LUNG	-21.076
POLI	NCIH1650_LUNG	-30.829
POLD3	NCIH1650_LUNG	41.14
POLM	NCIH1650_LUNG	-1.489
POLE	NCIH1650_LUNG	14.904
POLK	NCIH1650_LUNG	-20.579
POLA2	NCIH1650_LUNG	3.502
POLB	NCIH1650_LUNG	-27.697
POLD1	NCIH1650_LUNG	31.522
MAD2L2	NCIH1650_LUNG	41.461
MAD2L2	U343_CENTRAL_NERVOUS_SYSTEM	3.722
POLA2	U343_CENTRAL_NERVOUS_SYSTEM	21.065
POLB	U343_CENTRAL_NERVOUS_SYSTEM	-23.063
POLD1	U343_CENTRAL_NERVOUS_SYSTEM	26.237
POLD4	U343_CENTRAL_NERVOUS_SYSTEM	-16.334
POLD2	U343_CENTRAL_NERVOUS_SYSTEM	13.194
POLL	U343_CENTRAL_NERVOUS_SYSTEM	-22.747
POLD3	U343_CENTRAL_NERVOUS_SYSTEM	15.033
POLM	U343_CENTRAL_NERVOUS_SYSTEM	-1.672
POLE	U343_CENTRAL_NERVOUS_SYSTEM	39.766
POLN	U343_CENTRAL_NERVOUS_SYSTEM	-9.457
POLE2	U343_CENTRAL_NERVOUS_SYSTEM	66.566
POLQ	U343_CENTRAL_NERVOUS_SYSTEM	10.992
POLE3	U343_CENTRAL_NERVOUS_SYSTEM	15.492
POLE4	U343_CENTRAL_NERVOUS_SYSTEM	4.935
REV3L	U343_CENTRAL_NERVOUS_SYSTEM	-1.964
POLG	U343_CENTRAL_NERVOUS_SYSTEM	-12.255
POLG2	U343_CENTRAL_NERVOUS_SYSTEM	-6.451
POLH	U343_CENTRAL_NERVOUS_SYSTEM	-6.771
POLI	U343_CENTRAL_NERVOUS_SYSTEM	-31.346
POLK	U343_CENTRAL_NERVOUS_SYSTEM	-20.225
MAD2L2	U118MG_CENTRAL_NERVOUS_SYSTEM	16.208
REV3L	U118MG_CENTRAL_NERVOUS_SYSTEM	16.982
POLL	U118MG_CENTRAL_NERVOUS_SYSTEM	-13.004
POLM	U118MG_CENTRAL_NERVOUS_SYSTEM	-18.145
POLN	U118MG_CENTRAL_NERVOUS_SYSTEM	-26.375
POLQ	U118MG_CENTRAL_NERVOUS_SYSTEM	-10.13
POLE4	U118MG_CENTRAL_NERVOUS_SYSTEM	-2.566
POLG	U118MG_CENTRAL_NERVOUS_SYSTEM	-21.797
POLG2	U118MG_CENTRAL_NERVOUS_SYSTEM	-9.265
POLH	U118MG_CENTRAL_NERVOUS_SYSTEM	-16.172
POLI	U118MG_CENTRAL_NERVOUS_SYSTEM	-31.486
POLA2	U118MG_CENTRAL_NERVOUS_SYSTEM	17.782
POLE3	U118MG_CENTRAL_NERVOUS_SYSTEM	-5.202
POLE2	U118MG_CENTRAL_NERVOUS_SYSTEM	71.158
POLK	U118MG_CENTRAL_NERVOUS_SYSTEM	-15.896
POLB	U118MG_CENTRAL_NERVOUS_SYSTEM	-27.129
POLD3	U118MG_CENTRAL_NERVOUS_SYSTEM	41.427
POLD2	U118MG_CENTRAL_NERVOUS_SYSTEM	22.971
POLD1	U118MG_CENTRAL_NERVOUS_SYSTEM	36.451
POLE	U118MG_CENTRAL_NERVOUS_SYSTEM	31.604
POLD4	U118MG_CENTRAL_NERVOUS_SYSTEM	-5.349
POLH	RDES_BONE	-17.828
POLI	RDES_BONE	-29.892
POLK	RDES_BONE	-26.747
POLA2	RDES_BONE	15.627
POLE2	RDES_BONE	61.427
POLL	RDES_BONE	-17.74
POLB	RDES_BONE	-28.867
POLE3	RDES_BONE	-4.31
POLM	RDES_BONE	-17.415
POLD1	RDES_BONE	55.897
POLE4	RDES_BONE	-23.883
POLN	RDES_BONE	-21.874
POLD2	RDES_BONE	24.382
POLG	RDES_BONE	-19.677
POLQ	RDES_BONE	-14.075
POLD3	RDES_BONE	34.077
POLG2	RDES_BONE	-4.676
POLD4	RDES_BONE	-13.689
POLE	RDES_BONE	35.053
REV3L	RDES_BONE	13.369
MAD2L2	RDES_BONE	42.067
POLA2	PANC0203_PANCREAS	17.229
POLB	PANC0203_PANCREAS	-30.684
POLD1	PANC0203_PANCREAS	41.543
MAD2L2	PANC0203_PANCREAS	7.276
POLD2	PANC0203_PANCREAS	11.462
POLD3	PANC0203_PANCREAS	44.708
POLD4	PANC0203_PANCREAS	-16.363
POLE	PANC0203_PANCREAS	50.007
POLE2	PANC0203_PANCREAS	44.623
POLE3	PANC0203_PANCREAS	-12.255
POLE4	PANC0203_PANCREAS	-22.529
POLH	PANC0203_PANCREAS	-14.387
REV3L	PANC0203_PANCREAS	0.209
POLG	PANC0203_PANCREAS	-26.732
POLI	PANC0203_PANCREAS	-37.862
POLG2	PANC0203_PANCREAS	-3.034
POLK	PANC0203_PANCREAS	-20.402
POLN	PANC0203_PANCREAS	-12.318
POLL	PANC0203_PANCREAS	-19.871
POLM	PANC0203_PANCREAS	-13.693
POLQ	PANC0203_PANCREAS	-11.915
MAD2L2	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	48.766
REV3L	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.431
POLA2	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	11.245
POLL	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-16.38
POLB	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-26.12
POLM	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-20.624
POLD1	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	41.512
POLN	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-13.907
POLD2	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	27.155
POLQ	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-3.794
POLD3	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	11.409
POLE4	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-18.006
POLD4	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-16.403
POLH	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-24.225
POLE2	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	21.497
POLG	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	15.395
POLI	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-39.057
POLE3	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-30.736
POLG2	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	30.074
POLE	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	20.055
POLK	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-23.37
MAD2L2	GCIY_STOMACH	20.513
REV3L	GCIY_STOMACH	3.801
POLA2	GCIY_STOMACH	6.688
POLE2	GCIY_STOMACH	28.374
POLB	GCIY_STOMACH	-25.686
POLE3	GCIY_STOMACH	7.344
POLD1	GCIY_STOMACH	42.86
POLE4	GCIY_STOMACH	7.86
POLH	GCIY_STOMACH	-15.119
POLD2	GCIY_STOMACH	12.259
POLG	GCIY_STOMACH	18.541
POLI	GCIY_STOMACH	-27.746
POLD3	GCIY_STOMACH	26.722
POLG2	GCIY_STOMACH	24.992
POLK	GCIY_STOMACH	-24.289
POLD4	GCIY_STOMACH	-23.22
POLL	GCIY_STOMACH	-24.667
POLM	GCIY_STOMACH	-14.609
POLE	GCIY_STOMACH	44.708
POLN	GCIY_STOMACH	-21.471
POLQ	GCIY_STOMACH	-0.366
POLH	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-17.323
POLI	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-29.109
POLK	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-17.743
POLL	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-21.339
POLM	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-16.244
POLN	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-27.53
MAD2L2	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.79
REV3L	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	10.978
POLQ	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.781
POLA2	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	22.971
POLE2	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	33.736
POLB	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-25.398
POLE3	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-4.448
POLD1	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	54.061
POLE4	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-29.314
POLD2	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	28.161
POLG	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-16.684
POLD3	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	36.331
POLG2	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-4.31
POLD4	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-19.543
POLE	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	42.982
MAD2L2	HT1080_SOFT_TISSUE	11.918
POLL	HT1080_SOFT_TISSUE	-14.227
POLM	HT1080_SOFT_TISSUE	-9.569
POLN	HT1080_SOFT_TISSUE	-23.974
POLQ	HT1080_SOFT_TISSUE	3.356
POLH	HT1080_SOFT_TISSUE	-16.173
POLI	HT1080_SOFT_TISSUE	-31.962
POLK	HT1080_SOFT_TISSUE	-21.966
POLA2	HT1080_SOFT_TISSUE	15.461
POLB	HT1080_SOFT_TISSUE	-39.214
POLD1	HT1080_SOFT_TISSUE	45.83
POLD2	HT1080_SOFT_TISSUE	14.357
POLD3	HT1080_SOFT_TISSUE	42.051
POLD4	HT1080_SOFT_TISSUE	-17.05
POLE	HT1080_SOFT_TISSUE	32.523
POLE4	HT1080_SOFT_TISSUE	-13.424
POLE2	HT1080_SOFT_TISSUE	46.352
POLG	HT1080_SOFT_TISSUE	-14.876
POLE3	HT1080_SOFT_TISSUE	0.629
POLG2	HT1080_SOFT_TISSUE	-8.49
