GENE	CCLE_CELL	BF
POLE3	COLO201_LARGE_INTESTINE	-7.739
POLD1	COLO201_LARGE_INTESTINE	42.61
POLE4	COLO201_LARGE_INTESTINE	-10.919
POLD2	COLO201_LARGE_INTESTINE	18.862
POLG	COLO201_LARGE_INTESTINE	-17.275
POLD3	COLO201_LARGE_INTESTINE	50.189
POLG2	COLO201_LARGE_INTESTINE	2.127
POLD4	COLO201_LARGE_INTESTINE	-17.443
POLE	COLO201_LARGE_INTESTINE	34.758
REV3L	LMSU_STOMACH	5.324
MAD2L2	LMSU_STOMACH	13.014
POLH	LMSU_STOMACH	-11.966
POLI	LMSU_STOMACH	-30.998
POLK	LMSU_STOMACH	-21.088
POLL	LMSU_STOMACH	-13.296
POLM	LMSU_STOMACH	-15.72
POLN	LMSU_STOMACH	-32.698
POLQ	LMSU_STOMACH	-6.534
POLE2	LMSU_STOMACH	47.481
POLE3	LMSU_STOMACH	-8.488
POLE4	LMSU_STOMACH	-5.194
POLA2	LMSU_STOMACH	19.565
POLD2	LMSU_STOMACH	25.229
POLG	LMSU_STOMACH	-17.151
POLB	LMSU_STOMACH	-25.396
POLD3	LMSU_STOMACH	59.187
POLG2	LMSU_STOMACH	-5.033
POLD1	LMSU_STOMACH	66.566
POLD4	LMSU_STOMACH	-14.432
POLE	LMSU_STOMACH	35.772
REV3L	COV318_OVARY	-9.299
MAD2L2	COV318_OVARY	36.166
POLH	COV318_OVARY	-13.108
POLI	COV318_OVARY	-28.335
POLK	COV318_OVARY	-22.411
POLL	COV318_OVARY	-21.983
POLM	COV318_OVARY	-19.475
POLN	COV318_OVARY	-27.446
POLQ	COV318_OVARY	-23.119
POLE4	COV318_OVARY	-5.36
POLA2	COV318_OVARY	23.444
POLE2	COV318_OVARY	49.447
POLD2	COV318_OVARY	9.643
POLG	COV318_OVARY	-11.841
POLB	COV318_OVARY	-23.05
POLE3	COV318_OVARY	-12.076
POLD3	COV318_OVARY	48.111
POLG2	COV318_OVARY	-15.097
POLD1	COV318_OVARY	33.638
POLD4	COV318_OVARY	-18.203
POLE	COV318_OVARY	58.029
POLH	KELLY_AUTONOMIC_GANGLIA	-19.473
POLI	KELLY_AUTONOMIC_GANGLIA	-33.485
POLK	KELLY_AUTONOMIC_GANGLIA	-14.67
POLL	KELLY_AUTONOMIC_GANGLIA	-20.198
POLM	KELLY_AUTONOMIC_GANGLIA	-8.445
POLN	KELLY_AUTONOMIC_GANGLIA	-26.383
POLQ	KELLY_AUTONOMIC_GANGLIA	-15.13
POLA2	KELLY_AUTONOMIC_GANGLIA	9.527
POLB	KELLY_AUTONOMIC_GANGLIA	-24.937
POLD1	KELLY_AUTONOMIC_GANGLIA	35.888
POLD2	KELLY_AUTONOMIC_GANGLIA	8.277
POLD3	KELLY_AUTONOMIC_GANGLIA	37.012
POLD4	KELLY_AUTONOMIC_GANGLIA	-14.828
POLE	KELLY_AUTONOMIC_GANGLIA	52.245
POLE2	KELLY_AUTONOMIC_GANGLIA	40.678
POLE3	KELLY_AUTONOMIC_GANGLIA	4.457
POLE4	KELLY_AUTONOMIC_GANGLIA	1.564
POLG	KELLY_AUTONOMIC_GANGLIA	17.875
POLG2	KELLY_AUTONOMIC_GANGLIA	8.293
REV3L	KELLY_AUTONOMIC_GANGLIA	11.286
MAD2L2	KELLY_AUTONOMIC_GANGLIA	13.851
POLA2	SKNAS_AUTONOMIC_GANGLIA	24.813
POLB	SKNAS_AUTONOMIC_GANGLIA	-34.906
POLD1	SKNAS_AUTONOMIC_GANGLIA	50.948
POLD2	SKNAS_AUTONOMIC_GANGLIA	20.113
POLD3	SKNAS_AUTONOMIC_GANGLIA	48.295
POLD4	SKNAS_AUTONOMIC_GANGLIA	-14.769
POLE	SKNAS_AUTONOMIC_GANGLIA	33.423
POLE2	SKNAS_AUTONOMIC_GANGLIA	66.566
POLE3	SKNAS_AUTONOMIC_GANGLIA	5.378
POLE4	SKNAS_AUTONOMIC_GANGLIA	-2.694
POLG	SKNAS_AUTONOMIC_GANGLIA	-4.013
POLG2	SKNAS_AUTONOMIC_GANGLIA	2.665
POLH	SKNAS_AUTONOMIC_GANGLIA	-16.993
POLI	SKNAS_AUTONOMIC_GANGLIA	-30.203
POLK	SKNAS_AUTONOMIC_GANGLIA	-21.137
POLL	SKNAS_AUTONOMIC_GANGLIA	-26.737
POLM	SKNAS_AUTONOMIC_GANGLIA	-16.363
POLN	SKNAS_AUTONOMIC_GANGLIA	-15.966
POLQ	SKNAS_AUTONOMIC_GANGLIA	-4.575
REV3L	SKNAS_AUTONOMIC_GANGLIA	17.671
MAD2L2	SKNAS_AUTONOMIC_GANGLIA	26.235
POLA2	RERFLCAI_LUNG	29.116
POLE2	RERFLCAI_LUNG	56.761
POLB	RERFLCAI_LUNG	-31.716
POLE3	RERFLCAI_LUNG	-20.587
POLD1	RERFLCAI_LUNG	35.394
POLE4	RERFLCAI_LUNG	-20.595
POLD2	RERFLCAI_LUNG	18.777
POLG	RERFLCAI_LUNG	-9.261
POLD3	RERFLCAI_LUNG	38.645
POLG2	RERFLCAI_LUNG	7.258
POLD4	RERFLCAI_LUNG	-14.014
POLH	RERFLCAI_LUNG	-19.576
POLI	RERFLCAI_LUNG	-37.703
POLE	RERFLCAI_LUNG	36.451
POLK	RERFLCAI_LUNG	-19.459
POLL	RERFLCAI_LUNG	-16.372
POLM	RERFLCAI_LUNG	-11.125
POLN	RERFLCAI_LUNG	-27.467
POLQ	RERFLCAI_LUNG	-4.73
REV3L	RERFLCAI_LUNG	13.749
MAD2L2	RERFLCAI_LUNG	38.575
POLA2	UOK101_KIDNEY	-2.619
POLB	UOK101_KIDNEY	-16.716
POLD1	UOK101_KIDNEY	39.695
POLD2	UOK101_KIDNEY	28.525
POLD3	UOK101_KIDNEY	35.736
POLD4	UOK101_KIDNEY	-14.84
POLE	UOK101_KIDNEY	22.898
POLE2	UOK101_KIDNEY	47.066
POLE3	UOK101_KIDNEY	47.505
POLE4	UOK101_KIDNEY	47.815
POLG	UOK101_KIDNEY	-13.25
POLG2	UOK101_KIDNEY	7.702
REV3L	UOK101_KIDNEY	-8.962
MAD2L2	UOK101_KIDNEY	22.401
POLH	UOK101_KIDNEY	-27.561
POLI	UOK101_KIDNEY	-32.535
POLK	UOK101_KIDNEY	-20.333
POLL	UOK101_KIDNEY	0.809
POLM	UOK101_KIDNEY	-9.28
POLN	UOK101_KIDNEY	-25.158
POLQ	UOK101_KIDNEY	-3.019
POLD4	CALU6_LUNG	-7.052
POLA2	CALU6_LUNG	21.045
POLH	CALU6_LUNG	-14.042
POLD2	CALU6_LUNG	24.937
POLB	CALU6_LUNG	-29.751
POLI	CALU6_LUNG	-29.785
POLD3	CALU6_LUNG	31.659
POLE	CALU6_LUNG	43.898
POLD1	CALU6_LUNG	27.526
POLK	CALU6_LUNG	-25.113
POLE2	CALU6_LUNG	42.086
POLL	CALU6_LUNG	-5.785
POLE3	CALU6_LUNG	-7.146
POLM	CALU6_LUNG	-16.905
POLE4	CALU6_LUNG	-13.326
POLN	CALU6_LUNG	-19.418
POLG	CALU6_LUNG	-23.373
POLQ	CALU6_LUNG	-5.142
POLG2	CALU6_LUNG	-4.394
REV3L	CALU6_LUNG	-4.671
MAD2L2	CALU6_LUNG	18.726
REV3L	KP4_PANCREAS	6.749
POLH	KP4_PANCREAS	-5.001
POLI	KP4_PANCREAS	-33.237
POLK	KP4_PANCREAS	-20.247
POLL	KP4_PANCREAS	-12.852
POLM	KP4_PANCREAS	-21.629
POLN	KP4_PANCREAS	-26.471
POLQ	KP4_PANCREAS	-3.901
POLA2	KP4_PANCREAS	17.13
POLE2	KP4_PANCREAS	31.369
POLB	KP4_PANCREAS	-23.323
POLE3	KP4_PANCREAS	-22.25
POLD1	KP4_PANCREAS	67.865
POLE4	KP4_PANCREAS	-18.764
POLD2	KP4_PANCREAS	12.694
POLG	KP4_PANCREAS	21.045
POLD3	KP4_PANCREAS	30.384
POLG2	KP4_PANCREAS	12.321
POLD4	KP4_PANCREAS	-15.747
POLE	KP4_PANCREAS	28.901
MAD2L2	KP4_PANCREAS	31.667
POLH	SNU213_PANCREAS	-11.208
REV3L	SNU213_PANCREAS	8.216
POLI	SNU213_PANCREAS	-31.632
POLK	SNU213_PANCREAS	-15.853
POLN	SNU213_PANCREAS	-24.366
POLA2	SNU213_PANCREAS	25.229
POLD2	SNU213_PANCREAS	16.682
POLL	SNU213_PANCREAS	-18.135
POLQ	SNU213_PANCREAS	1.034
POLB	SNU213_PANCREAS	-29.751
POLD3	SNU213_PANCREAS	45.986
POLM	SNU213_PANCREAS	-15.748
POLD1	SNU213_PANCREAS	44.822
POLD4	SNU213_PANCREAS	-15.256
POLE	SNU213_PANCREAS	48.815
POLE2	SNU213_PANCREAS	31.971
POLE3	SNU213_PANCREAS	-27.41
POLE4	SNU213_PANCREAS	-21.893
POLG	SNU213_PANCREAS	-26.666
POLG2	SNU213_PANCREAS	-6.639
MAD2L2	SNU213_PANCREAS	4.562
POLH	HS852T_SKIN	-18.991
POLI	HS852T_SKIN	-28.763
POLK	HS852T_SKIN	-20.421
POLA2	HS852T_SKIN	15.247
POLL	HS852T_SKIN	-18.17
POLB	HS852T_SKIN	-30.134
POLM	HS852T_SKIN	-30.277
POLD1	HS852T_SKIN	30.384
POLE4	HS852T_SKIN	-15.009
POLN	HS852T_SKIN	-32.089
MAD2L2	HS852T_SKIN	5.884
POLD2	HS852T_SKIN	19.158
POLG	HS852T_SKIN	-16.646
POLQ	HS852T_SKIN	-0.921
POLD3	HS852T_SKIN	24.773
POLG2	HS852T_SKIN	1.878
POLD4	HS852T_SKIN	-29.153
POLE2	HS852T_SKIN	46.16
POLE3	HS852T_SKIN	-15.256
POLE	HS852T_SKIN	42.86
REV3L	HS852T_SKIN	2.112
REV3L	HCC1419_BREAST	-11.002
MAD2L2	HCC1419_BREAST	0.298
POLA2	HCC1419_BREAST	5.161
POLH	HCC1419_BREAST	-17.351
POLB	HCC1419_BREAST	-30.09
POLI	HCC1419_BREAST	-36.415
POLD1	HCC1419_BREAST	16.496
POLK	HCC1419_BREAST	-18.452
POLN	HCC1419_BREAST	-28.053
POLD2	HCC1419_BREAST	23.281
POLL	HCC1419_BREAST	-14.264
POLQ	HCC1419_BREAST	-4.169
POLD3	HCC1419_BREAST	42.051
POLM	HCC1419_BREAST	-15.112
POLD4	HCC1419_BREAST	-7.881
POLE	HCC1419_BREAST	18.951
POLE4	HCC1419_BREAST	-16.997
POLE2	HCC1419_BREAST	40.262
POLG	HCC1419_BREAST	-13.556
POLE3	HCC1419_BREAST	-16.588
POLG2	HCC1419_BREAST	9.774
MAD2L2	COV362_OVARY	25.19
REV3L	COV362_OVARY	18.032
POLA2	COV362_OVARY	18.859
POLB	COV362_OVARY	-27.759
POLD1	COV362_OVARY	47.962
POLD2	COV362_OVARY	22.42
POLD3	COV362_OVARY	37.675
POLD4	COV362_OVARY	-24.326
POLH	COV362_OVARY	-16.289
POLI	COV362_OVARY	-48.387
POLE	COV362_OVARY	60.994
POLK	COV362_OVARY	-22.002
POLE4	COV362_OVARY	18.589
POLE2	COV362_OVARY	62.204
POLL	COV362_OVARY	-9.054
POLG	COV362_OVARY	-22.637
POLE3	COV362_OVARY	43.898
POLM	COV362_OVARY	-19.824
POLG2	COV362_OVARY	-20.716
POLN	COV362_OVARY	-29.267
POLQ	COV362_OVARY	-13.081
REV3L	EWS502_BONE	7.612
MAD2L2	EWS502_BONE	17.168
POLH	EWS502_BONE	-8.35
POLI	EWS502_BONE	-37.273
POLK	EWS502_BONE	-17.11
POLE4	EWS502_BONE	14.111
POLL	EWS502_BONE	-16.913
POLG	EWS502_BONE	25.783
POLM	EWS502_BONE	-19.176
POLG2	EWS502_BONE	18.254
POLN	EWS502_BONE	-20.983
POLE2	EWS502_BONE	42.279
POLQ	EWS502_BONE	-8.128
POLE3	EWS502_BONE	31.406
POLA2	EWS502_BONE	15.247
POLB	EWS502_BONE	-33.974
POLD1	EWS502_BONE	44.991
POLD3	EWS502_BONE	50.563
POLD4	EWS502_BONE	-16.083
POLD2	EWS502_BONE	22.317
POLE	EWS502_BONE	43.54
REV3L	SNU840_OVARY	28.605
POLH	SNU840_OVARY	-12.71
POLI	SNU840_OVARY	-31.856
POLK	SNU840_OVARY	-18.917
MAD2L2	SNU840_OVARY	38.118
POLE2	SNU840_OVARY	44.112
POLL	SNU840_OVARY	-5.734
POLE3	SNU840_OVARY	-23.364
POLM	SNU840_OVARY	-4.409
POLE4	SNU840_OVARY	-24.066
POLN	SNU840_OVARY	-24.434
POLG	SNU840_OVARY	-11.846
POLQ	SNU840_OVARY	18.777
POLG2	SNU840_OVARY	13.739
POLA2	SNU840_OVARY	12.587
POLB	SNU840_OVARY	-28.553
POLD1	SNU840_OVARY	2.785
POLD2	SNU840_OVARY	17.647
POLD3	SNU840_OVARY	40.486
POLD4	SNU840_OVARY	-17.557
POLE	SNU840_OVARY	17.516
POLH	KP2_PANCREAS	4.095
POLI	KP2_PANCREAS	-32.797
POLK	KP2_PANCREAS	-18.422
POLL	KP2_PANCREAS	-12.405
POLM	KP2_PANCREAS	-7.407
POLN	KP2_PANCREAS	-23.929
POLQ	KP2_PANCREAS	-14.246
POLA2	KP2_PANCREAS	-7.083
MAD2L2	KP2_PANCREAS	40.14
POLE2	KP2_PANCREAS	45.662
POLB	KP2_PANCREAS	-38.594
POLE3	KP2_PANCREAS	-22.757
POLD1	KP2_PANCREAS	18.862
POLE4	KP2_PANCREAS	-26.238
REV3L	KP2_PANCREAS	8.954
POLD2	KP2_PANCREAS	8.715
POLG	KP2_PANCREAS	-14.92
POLD3	KP2_PANCREAS	34.625
POLG2	KP2_PANCREAS	-12.16
POLD4	KP2_PANCREAS	-19.524
POLE	KP2_PANCREAS	35.913
REV3L	BT549_BREAST	1.22
POLA2	BT549_BREAST	18.608
POLB	BT549_BREAST	-30.634
POLD1	BT549_BREAST	37.676
POLD2	BT549_BREAST	21.497
POLD3	BT549_BREAST	49.36
POLD4	BT549_BREAST	-18.566
MAD2L2	BT549_BREAST	17.229
POLE	BT549_BREAST	39.695
POLH	BT549_BREAST	-17.164
POLE2	BT549_BREAST	46.352
POLI	BT549_BREAST	-32.564
POLE3	BT549_BREAST	5.72
POLK	BT549_BREAST	-19.944
POLE4	BT549_BREAST	-7.542
POLL	BT549_BREAST	-18.459
POLG	BT549_BREAST	13.486
POLM	BT549_BREAST	-10.985
POLG2	BT549_BREAST	12.163
POLN	BT549_BREAST	-18.975
POLQ	BT549_BREAST	-10.562
REV3L	OV90_OVARY	-2.57
POLH	OV90_OVARY	-19.195
POLI	OV90_OVARY	-34.98
POLK	OV90_OVARY	-25.272
POLL	OV90_OVARY	-14.685
POLM	OV90_OVARY	-23.586
POLN	OV90_OVARY	-26.375
POLQ	OV90_OVARY	-19.014
POLA2	OV90_OVARY	20.708
POLB	OV90_OVARY	-17.275
POLD1	OV90_OVARY	28.661
POLD2	OV90_OVARY	29.4
POLD3	OV90_OVARY	50.596
POLD4	OV90_OVARY	-30.684
POLE	OV90_OVARY	40.477
POLE2	OV90_OVARY	24.617
POLE3	OV90_OVARY	-4.191
POLE4	OV90_OVARY	-8.368
MAD2L2	OV90_OVARY	-1.933
POLG	OV90_OVARY	-5.807
POLG2	OV90_OVARY	2.707
MAD2L2	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.743
REV3L	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-15.905
POLA2	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-5.879
POLB	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-32.171
POLD1	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	41.853
POLD2	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	10.145
POLD3	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	37.52
POLD4	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-17.463
POLE	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	28.161
POLE2	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	42.166
POLE3	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-5.503
POLE4	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-15.191
POLG	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	15.954
POLG2	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	18.436
POLH	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-19.263
POLI	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-35.139
POLK	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-14.933
POLN	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-17.423
POLL	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.598
POLQ	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.878
POLM	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-15.117
REV3L	OUMS23_LARGE_INTESTINE	6.184
POLA2	OUMS23_LARGE_INTESTINE	32.154
POLB	OUMS23_LARGE_INTESTINE	-23.32
POLD1	OUMS23_LARGE_INTESTINE	25.432
POLD2	OUMS23_LARGE_INTESTINE	24.036
POLD3	OUMS23_LARGE_INTESTINE	41.944
POLD4	OUMS23_LARGE_INTESTINE	-21.884
MAD2L2	OUMS23_LARGE_INTESTINE	36.7
POLE	OUMS23_LARGE_INTESTINE	48.823
POLE2	OUMS23_LARGE_INTESTINE	67.865
POLE3	OUMS23_LARGE_INTESTINE	57.143
POLE4	OUMS23_LARGE_INTESTINE	20.415
POLG	OUMS23_LARGE_INTESTINE	-12.739
POLG2	OUMS23_LARGE_INTESTINE	9.385
POLN	OUMS23_LARGE_INTESTINE	-22.368
POLH	OUMS23_LARGE_INTESTINE	-5.304
POLI	OUMS23_LARGE_INTESTINE	-26.694
POLQ	OUMS23_LARGE_INTESTINE	19.655
POLK	OUMS23_LARGE_INTESTINE	-20.217
POLL	OUMS23_LARGE_INTESTINE	-14.828
POLM	OUMS23_LARGE_INTESTINE	-28.678
REV3L	SNU1077_ENDOMETRIUM	1.924
MAD2L2	SNU1077_ENDOMETRIUM	13.863
POLB	SNU1077_ENDOMETRIUM	-31.716
POLD1	SNU1077_ENDOMETRIUM	35.298
POLD2	SNU1077_ENDOMETRIUM	25.229
POLD3	SNU1077_ENDOMETRIUM	34.86
POLD4	SNU1077_ENDOMETRIUM	-22.221
POLN	SNU1077_ENDOMETRIUM	-26.7
POLH	SNU1077_ENDOMETRIUM	-17.295
POLQ	SNU1077_ENDOMETRIUM	5.652
POLI	SNU1077_ENDOMETRIUM	-34.456
POLE	SNU1077_ENDOMETRIUM	44.019
POLK	SNU1077_ENDOMETRIUM	-15.366
POLE4	SNU1077_ENDOMETRIUM	18.904
POLA2	SNU1077_ENDOMETRIUM	27.759
POLE2	SNU1077_ENDOMETRIUM	55.199
POLL	SNU1077_ENDOMETRIUM	-14.792
POLG	SNU1077_ENDOMETRIUM	-13.022
POLE3	SNU1077_ENDOMETRIUM	45.385
POLM	SNU1077_ENDOMETRIUM	-23.937
POLG2	SNU1077_ENDOMETRIUM	-7.92
MAD2L2	PK1_PANCREAS	7.114
POLA2	PK1_PANCREAS	20.301
POLB	PK1_PANCREAS	-30.414
POLD1	PK1_PANCREAS	31.874
POLD2	PK1_PANCREAS	39.361
POLD3	PK1_PANCREAS	52.058
POLD4	PK1_PANCREAS	-20.846
POLE	PK1_PANCREAS	33.969
POLE2	PK1_PANCREAS	36.981
POLE3	PK1_PANCREAS	-12.658
POLE4	PK1_PANCREAS	-17.714
POLG	PK1_PANCREAS	-8.109
POLG2	PK1_PANCREAS	-1.56
REV3L	PK1_PANCREAS	3.76
POLN	PK1_PANCREAS	-27.494
POLH	PK1_PANCREAS	-17.966
POLI	PK1_PANCREAS	-30.371
POLQ	PK1_PANCREAS	-6.783
POLM	PK1_PANCREAS	-11.848
POLL	PK1_PANCREAS	-9.467
POLK	PK1_PANCREAS	-19.967
POLA2	EFO21_OVARY	28.727
POLE2	EFO21_OVARY	40.999
POLB	EFO21_OVARY	-27.963
POLE3	EFO21_OVARY	-24.4
POLD1	EFO21_OVARY	50.42
POLE4	EFO21_OVARY	-25.972
MAD2L2	EFO21_OVARY	9.583
POLH	EFO21_OVARY	-17.634
POLD2	EFO21_OVARY	16.496
POLG	EFO21_OVARY	-18.291
POLI	EFO21_OVARY	-31.938
POLD3	EFO21_OVARY	51.873
POLG2	EFO21_OVARY	-11.973
POLK	EFO21_OVARY	-21.166
POLD4	EFO21_OVARY	-16.78
POLN	EFO21_OVARY	-23.982
POLL	EFO21_OVARY	-21.913
POLQ	EFO21_OVARY	-20.335
POLM	EFO21_OVARY	-12.455
POLE	EFO21_OVARY	61.675
REV3L	EFO21_OVARY	7.883
POLA2	NCIH2122_LUNG	16.483
POLB	NCIH2122_LUNG	-19.26
POLD1	NCIH2122_LUNG	24.732
POLD4	NCIH2122_LUNG	-15.277
POLE2	NCIH2122_LUNG	51.873
POLD2	NCIH2122_LUNG	-1.218
POLE3	NCIH2122_LUNG	3.236
POLD3	NCIH2122_LUNG	49.829
POLE	NCIH2122_LUNG	30.243
POLE4	NCIH2122_LUNG	-5.338
POLG	NCIH2122_LUNG	-15.357
POLG2	NCIH2122_LUNG	-13.167
POLH	NCIH2122_LUNG	-18.943
POLI	NCIH2122_LUNG	-27.742
POLK	NCIH2122_LUNG	-12.614
POLL	NCIH2122_LUNG	-17.664
POLM	NCIH2122_LUNG	-9.16
POLN	NCIH2122_LUNG	-16.858
POLQ	NCIH2122_LUNG	0.161
REV3L	NCIH2122_LUNG	2.899
MAD2L2	NCIH2122_LUNG	6.075
POLA2	SKNBE2_AUTONOMIC_GANGLIA	31.522
REV3L	SKNBE2_AUTONOMIC_GANGLIA	10.992
POLB	SKNBE2_AUTONOMIC_GANGLIA	-35.922
POLD1	SKNBE2_AUTONOMIC_GANGLIA	43.588
POLD2	SKNBE2_AUTONOMIC_GANGLIA	37.012
POLD3	SKNBE2_AUTONOMIC_GANGLIA	37.177
POLE4	SKNBE2_AUTONOMIC_GANGLIA	-21.642
POLD4	SKNBE2_AUTONOMIC_GANGLIA	-13.508
POLE2	SKNBE2_AUTONOMIC_GANGLIA	58.029
POLG	SKNBE2_AUTONOMIC_GANGLIA	-6.661
POLE3	SKNBE2_AUTONOMIC_GANGLIA	-14.269
POLG2	SKNBE2_AUTONOMIC_GANGLIA	2.608
POLE	SKNBE2_AUTONOMIC_GANGLIA	31.211
POLH	SKNBE2_AUTONOMIC_GANGLIA	-13.261
POLI	SKNBE2_AUTONOMIC_GANGLIA	-32.91
POLK	SKNBE2_AUTONOMIC_GANGLIA	-15.649
POLL	SKNBE2_AUTONOMIC_GANGLIA	-19.958
POLM	SKNBE2_AUTONOMIC_GANGLIA	-20.779
POLN	SKNBE2_AUTONOMIC_GANGLIA	-21.993
POLQ	SKNBE2_AUTONOMIC_GANGLIA	-10.108
MAD2L2	SKNBE2_AUTONOMIC_GANGLIA	-5.575
REV3L	SNU886_LIVER	4.5
POLA2	SNU886_LIVER	15.383
POLB	SNU886_LIVER	-26.336
POLD1	SNU886_LIVER	30.074
POLD2	SNU886_LIVER	20.039
POLD3	SNU886_LIVER	58.47
POLD4	SNU886_LIVER	-8.314
POLE	SNU886_LIVER	51.244
POLE4	SNU886_LIVER	-7.059
POLE2	SNU886_LIVER	55.991
POLG	SNU886_LIVER	-6.446
POLE3	SNU886_LIVER	10.459
POLG2	SNU886_LIVER	0.224
POLN	SNU886_LIVER	-26.737
POLH	SNU886_LIVER	-12.891
POLQ	SNU886_LIVER	-9.899
POLI	SNU886_LIVER	-36.522
POLK	SNU886_LIVER	-16.369
POLL	SNU886_LIVER	-21.32
POLM	SNU886_LIVER	-20.467
MAD2L2	SNU886_LIVER	29.041
REV3L	TUHR14TKB_KIDNEY	-0.413
POLA2	TUHR14TKB_KIDNEY	0.473
POLB	TUHR14TKB_KIDNEY	-25.003
POLD1	TUHR14TKB_KIDNEY	0.606
POLD4	TUHR14TKB_KIDNEY	-23.373
POLD2	TUHR14TKB_KIDNEY	-2.931
POLD3	TUHR14TKB_KIDNEY	15.666
POLE	TUHR14TKB_KIDNEY	30.842
POLE2	TUHR14TKB_KIDNEY	68.725
POLE3	TUHR14TKB_KIDNEY	29.777
POLE4	TUHR14TKB_KIDNEY	10.267
POLH	TUHR14TKB_KIDNEY	-16.291
POLG	TUHR14TKB_KIDNEY	17.743
POLI	TUHR14TKB_KIDNEY	-24.549
POLG2	TUHR14TKB_KIDNEY	2.236
POLK	TUHR14TKB_KIDNEY	-18.231
POLL	TUHR14TKB_KIDNEY	-4.969
POLM	TUHR14TKB_KIDNEY	-21.964
POLN	TUHR14TKB_KIDNEY	-22.267
MAD2L2	TUHR14TKB_KIDNEY	21.768
POLQ	TUHR14TKB_KIDNEY	-0.178
REV3L	MPP89_PLEURA	29.923
POLA2	MPP89_PLEURA	36.247
POLB	MPP89_PLEURA	-27.862
POLD1	MPP89_PLEURA	22.111
MAD2L2	MPP89_PLEURA	54.129
POLD2	MPP89_PLEURA	31.125
POLD3	MPP89_PLEURA	54.934
POLE4	MPP89_PLEURA	-15.799
POLD4	MPP89_PLEURA	-17.051
POLH	MPP89_PLEURA	-20.391
POLG	MPP89_PLEURA	-18.639
POLI	MPP89_PLEURA	-31.916
POLG2	MPP89_PLEURA	-4.57
POLE	MPP89_PLEURA	34.262
POLK	MPP89_PLEURA	-19.636
POLE2	MPP89_PLEURA	52.058
POLL	MPP89_PLEURA	-15.95
POLE3	MPP89_PLEURA	3.654
POLM	MPP89_PLEURA	-16.651
POLN	MPP89_PLEURA	-23.374
POLQ	MPP89_PLEURA	-14.296
MAD2L2	HT144_SKIN	0.864
POLA2	HT144_SKIN	-14.175
POLB	HT144_SKIN	-30.616
POLD1	HT144_SKIN	-8.619
POLD2	HT144_SKIN	-20.146
POLD3	HT144_SKIN	44.719
POLD4	HT144_SKIN	-23.071
POLE	HT144_SKIN	46.824
POLE2	HT144_SKIN	40.401
POLE3	HT144_SKIN	4.306
POLE4	HT144_SKIN	-2.853
REV3L	HT144_SKIN	-4.148
POLG	HT144_SKIN	25.133
POLG2	HT144_SKIN	29.194
POLH	HT144_SKIN	5.776
POLI	HT144_SKIN	-29.362
POLK	HT144_SKIN	-13.034
POLL	HT144_SKIN	-7.266
POLM	HT144_SKIN	-17.886
POLN	HT144_SKIN	-19.572
POLQ	HT144_SKIN	5.884
MAD2L2	42MGBA_CENTRAL_NERVOUS_SYSTEM	7.702
POLH	42MGBA_CENTRAL_NERVOUS_SYSTEM	-11.94
POLI	42MGBA_CENTRAL_NERVOUS_SYSTEM	-28.22
POLK	42MGBA_CENTRAL_NERVOUS_SYSTEM	-28.509
POLE2	42MGBA_CENTRAL_NERVOUS_SYSTEM	58.967
POLL	42MGBA_CENTRAL_NERVOUS_SYSTEM	-17.106
POLE3	42MGBA_CENTRAL_NERVOUS_SYSTEM	-15.763
POLM	42MGBA_CENTRAL_NERVOUS_SYSTEM	-19.731
POLE4	42MGBA_CENTRAL_NERVOUS_SYSTEM	-17.195
POLN	42MGBA_CENTRAL_NERVOUS_SYSTEM	-27.077
POLA2	42MGBA_CENTRAL_NERVOUS_SYSTEM	20.09
REV3L	42MGBA_CENTRAL_NERVOUS_SYSTEM	6.878
POLG	42MGBA_CENTRAL_NERVOUS_SYSTEM	-13.578
POLB	42MGBA_CENTRAL_NERVOUS_SYSTEM	-30.832
POLQ	42MGBA_CENTRAL_NERVOUS_SYSTEM	-3.955
