GENE	FancG_HCT116_T1	FancG_HCT116_T2	FancL_HCT116_T1	FancL_HCT116_T2	WT_HCT116_T1	WT_HCT116_T2
ABCG8	1.483	-7.8839999999999995	-0.653	-4.718	-10.221	-25.418000000000003
ABHD1	-7.189	-9.692	-10.697000000000001	-8.498	-19.909000000000002	-14.2
ABHD10	-2.116	-3.867	-4.227	-4.31	-7.683	-9.349
ABHD11	-6.255	3.759	-5.152	-0.337	-5.646	4.354
ABHD12	-10.767000000000001	-13.282	-20.877	-25.539	-28.308000000000003	-29.145
ABHD12B	-3.303	-14.319	-3.29	-10.447000000000001	-11.119000000000002	-16.434
ABHD13	1.3559999999999999	-3.06	-9.524	-19.933	-22.316	-34.227
ABHD14A	-2.023	-3.55	-10.427999999999999	-16.73	-14.22	-23.879
ABHD14B	2.373	-0.149	-4.544	-11.052	-5.0360000000000005	-12.192
ABHD15	-3.5069999999999997	-0.175	-9.45	-12.985999999999999	-13.074000000000002	-10.273
ABHD16A	-5.676	-18.335	-0.833	-11.329	-6.169	-11.394
ABHD16B	-5.061	-4.477	-10.842	-9.833	-22.486	-24.785
ABHD17A	-4.184	-6.862	-10.117	-16.475	-1.023	3.799
ABHD17B	-0.7929999999999999	-5.3	-1.473	-9.859	-8.2	-21.63
ABHD17C	-10.54	-21.807	-4.814	-12.040999999999999	-20.101	-31.011999999999997
ABHD2	-13.02	-13.255999999999998	-17.918	-15.364	-34.57	-31.568
ABHD3	2.222	9.283999999999999	-10.955	-11.562999999999999	-21.746	-25.386999999999997
ABHD4	-4.931	-9.399	-10.227	-17.995	-26.006999999999998	-33.945
ABHD5	-5.135	-14.467	-10.852	-14.751	-21.256999999999998	-30.802
ABHD6	-6.05	-11.530999999999999	-8.735	-17.119	-12.707	-17.561
ABHD8	-8.111	-9.245	-18.822	-25.831	-20.551	-19.244
ABI1	-11.892000000000001	-8.577	-26.629	-25.399	-23.978	-9.574
ABI2	-0.8029999999999999	-5.812	-15.079	-33.871	-16.884	-34.463
ABI3	-13.212	-12.217	-16.95	-19.867	-26.392	-25.873
ABI3BP	-3.96	-10.924000000000001	-12.065	-22.206	-18.503	-31.904
ABL1	-0.136	-11.999	-1.651	-13.709000000000001	-3.741	-18.697
ABL2	-1.376	-6.407	-9.5	-22.955	-16.935	-22.642
ABLIM1	-3.6180000000000003	-10.870999999999999	-9.472000000000001	-11.207	-13.855	-27.616
ABLIM2	-14.827	-14.513	-17.788	-15.142000000000001	-33.336	-28.233
ABLIM3	-14.885	-10.693	-24.761	-22.408	-26.95	-15.181
ABR	-0.172	-6.782	-7.832000000000001	-15.4	-16.127	-27.936999999999998
ABRA	-5.754	-20.214000000000002	-13.185	-16.653	-13.719000000000001	-14.757
ABRACL	-1.245	-20.241	-10.308	-31.090999999999998	-14.347999999999999	-36.468
ABT1	1.102	14.3	5.757999999999999	27.566	19.849	45.681999999999995
ABTB1	-12.9	-11.782	-12.237	-8.448	-22.664	-14.269
ABTB2	-8.533	-10.873	-15.527999999999999	-23.17	-18.154	-3.111
AC007040.11	-6.266	-15.759	-4.748	-17.102	-9.728	-16.17
AC007431.1	2.449	4.486000000000001	-11.440999999999999	-9.34	-8.104	-8.538
AC009892.10	-0.848	-2.681	1.2409999999999999	-1.19	1.439	2.4290000000000003
AC016722.1	-8.415	-6.542999999999999	-14.097999999999999	-13.088	-20.769000000000002	-20.442999999999998
