GENE	FancG_HCT116_T1	FancG_HCT116_T2	FancL_HCT116_T1	FancL_HCT116_T2	WT_HCT116_T1	WT_HCT116_T2
CLDN12	-4.787	-7.422000000000001	-2.545	0.26899999999999996	-11.206	-23.525
CLDN14	-8.52	-13.661	-21.118000000000002	-32.0	-18.496	-17.727
CLDN15	-7.6370000000000005	-1.375	-5.916	2.437	-8.532	1.126
CLDN16	-0.052000000000000005	-13.055	-7.027	-21.613000000000003	-9.065	-26.862
CLDN17	3.3569999999999998	-14.654000000000002	1.095	-16.555999999999997	-25.471	-46.373999999999995
CLDN18	-0.491	-4.342	-0.601	-0.948	-4.752	-12.133
CLDN19	-9.807	-11.097999999999999	-16.322	-14.202	-18.892	-13.594000000000001
CLDN2	-4.287	-11.969000000000001	0.14	-5.3389999999999995	-6.657	-21.055
CLDN20	-7.875	-8.649	-10.161	-4.282	-15.350999999999999	-20.641
CLDN23	-7.209	-13.892000000000001	-14.318	-20.085	-15.302	-1.546
CLDN25	-6.064	-14.519	-8.677	-21.379	-20.891	-22.654
CLDN3	-12.935	-5.97	-17.833	-18.52	-26.308000000000003	-16.938
CLDN4	-13.03	-10.64	-20.572	-12.68	-31.285999999999998	-15.171
CLDN5	-13.888	-12.114	-19.713	-12.902000000000001	-13.977	-3.484
CLDN6	-3.157	-12.567	-8.828	-11.338	-1.8719999999999999	-27.822
CLDN7	-4.9239999999999995	-9.967	-14.219000000000001	-25.824	-23.959	-29.471
CLDN8	-12.115	-17.75	-14.395999999999999	-10.277000000000001	-18.167	-24.324
CLDN9	-12.519	-3.7460000000000004	-20.767	-26.011999999999997	-24.219	-14.667
CLDND1	1.714	-3.29	-1.047	-14.415	-3.6010000000000004	-10.92
CLDND2	-1.984	-8.582	-8.353	0.151	-10.28	-12.159
CLEC10A	-1.9680000000000002	-10.745	-15.856	-24.401	-15.345	-14.125
CLEC11A	-9.641	-8.841000000000001	-22.320999999999998	-14.423	-35.235	-34.152
CLEC12A	4.027	-8.986	-4.5760000000000005	-26.49	-11.628	-39.938
CLEC12B	-1.111	-14.249	-8.811	-22.928	-3.8160000000000003	-25.055
CLEC14A	-6.409	-10.856	-11.061	-13.505999999999998	-17.779	-29.076999999999998
CLEC16A	-5.742000000000001	-8.616	-1.328	-4.792	-9.306000000000001	-10.841
CLEC17A	-10.905	-17.453	-12.665999999999999	-17.262999999999998	-25.253	-30.714000000000002
CLEC19A	0.018000000000000002	-9.959	4.13	0.5870000000000001	5.756	-1.2429999999999999
CLEC1A	-1.493	-5.712999999999999	-6.606	-11.725999999999999	-10.312999999999999	-28.163
CLEC1B	-0.42	-17.417	-4.956	-21.254	-12.354000000000001	-23.752
CLEC2A	-2.4619999999999997	-6.085	-8.533999999999999	-10.919	-16.837	-30.06
CLEC2B	0.49200000000000005	-4.456	-11.225999999999999	-15.546	-6.335	-10.837
CLEC2D	8.083	-12.468	1.425	-15.155999999999999	-1.946	-29.303
CLEC2L	-3.562	-5.5760000000000005	-8.315	-3.984	-19.064	-23.468000000000004
CLEC3A	-9.552	-17.13	-14.636	-15.51	-20.222	-31.011999999999997
CLEC3B	-10.222000000000001	-11.839	-16.964000000000002	-11.222999999999999	-8.943	0.414
CLEC4A	2.625	-5.043	-11.982999999999999	-23.194000000000003	-15.725999999999999	-33.86
CLEC4C	1.206	-8.597999999999999	-7.348	-20.498	-2.864	-10.681
CLEC4D	2.7310000000000003	-2.07	-2.427	-19.301	-6.105	-27.869
CLEC4E	1.745	-5.34	-0.639	-18.63	-11.138	-14.84
CLEC4F	-4.238	-5.388	-4.937	0.294	-16.878	-20.795
CLEC4G	-2.873	-12.62	2.327	-9.821	-12.067	-13.892000000000001
CLEC4M	5.45	-4.788	-4.276	-18.205	-2.381	-19.687
CLEC5A	-4.083	-4.552	-12.113	-16.762	-25.51	-43.788999999999994
CLEC6A	6.8389999999999995	-1.989	-2.5869999999999997	-18.073	8.003	-10.477
CLEC7A	-10.119	-10.874	-14.29	-20.798000000000002	-19.621	-14.132
CLEC9A	6.022	-17.462	-4.258	-28.621	-0.9159999999999999	-28.468000000000004
CLECL1	3.14	-8.347999999999999	0.753	-15.504000000000001	-5.905	-27.406
CLGN	-3.862	-14.282	-12.925999999999998	-27.000999999999998	-12.8	-22.139
CLHC1	0.8270000000000001	-0.537	-5.671	-18.88	-5.5520000000000005	-17.469
CLIC1	-3.7489999999999997	-1.611	-15.645	-26.908	-23.019000000000002	-29.485
CLIC2	-7.906000000000001	-10.195	-18.7	-27.619	-22.276999999999997	-34.628
CLIC3	-9.333	0.983	-16.093	-13.571	-24.366999999999997	-13.700999999999999
CLIC4	-2.425	-10.487	-12.092	-23.079	-1.943	-16.02
CLIC5	-6.834	-16.799	-12.662	-15.207	-24.355	-36.501999999999995
CLIC6	-2.45	-6.28	-2.568	-13.092	-20.418	-43.236999999999995
CLINT1	-3.7089999999999996	-8.607999999999999	-12.034	-21.959	-13.607999999999999	-21.393
CLIP1	-8.837	-7.42	-6.178	-5.202000000000001	-9.407	5.59
CLIP2	-15.667	-14.017999999999999	-21.163	-20.541999999999998	-29.101	-22.429000000000002
CLIP3	-6.297999999999999	0.222	-16.558	-14.767999999999999	-13.913	-14.812999999999999
CLIP4	0.5760000000000001	-9.359	-10.342	-27.148000000000003	-6.629	-27.351999999999997
CLK1	-5.517	-4.059	5.279	-9.025	-6.867000000000001	-9.127
CLK2	-2.374	-3.22	-11.965	-10.593	-15.435	-8.687000000000001
CLK3	-0.368	-6.218999999999999	-3.0589999999999997	-3.497	-10.027999999999999	-32.734
CLK4	-1.618	-21.215	-2.7239999999999998	-5.605	-8.908999999999999	-26.052
CLLU1	-0.542	-8.625	-4.427	-16.456	-9.235	-23.49
CLLU1OS	2.435	-0.578	-6.725	-25.999000000000002	-7.742000000000001	-14.949000000000002
CLMN	4.877	-20.944000000000003	0.491	-21.638	8.804	-19.003
CLMP	-0.589	-5.001	-15.322000000000001	-18.69	-5.077	-22.213
CLN3	-2.228	-3.295	-6.574	-21.069000000000003	-0.8859999999999999	-1.9680000000000002
CLN5	13.267999999999999	10.982999999999999	2.222	-10.248	-1.827	-20.199
CLN6	-0.006	7.925	-8.101	-12.385	-4.763999999999999	-1.66
CLN8	-6.335	-7.416	-10.724	-20.938000000000002	-12.828	-15.012
CLNK	-2.575	-10.157	-14.339	-19.269000000000002	-23.206999999999997	-39.569
CLNS1A	8.796	14.57	19.424	36.826	20.685	40.725
CLOCK	4.1	-5.797999999999999	4.521	-7.082999999999999	5.919	-7.457999999999999
CLP1	-2.845	-16.402	-7.571000000000001	-14.655	-4.686	-6.997999999999999
CLPB	-12.314	-7.306	3.825	22.674	-5.727	4.697
CLPP	-6.627000000000001	2.145	-3.383	11.56	-6.138999999999999	15.998
CLPS	-7.867999999999999	-13.49	-10.672	-13.749	-16.223	-25.074
CLPSL1	-9.2	-12.124	-8.39	-8.03	-18.314	-16.669
CLPSL2	-4.274	-6.244	-8.413	-15.683	-22.074	-25.831
CLPTM1	-8.892999999999999	-3.525	-6.935	-1.719	-19.054000000000002	-10.511
CLPTM1L	-12.702	-10.88	-13.225	-20.169	-23.675	-16.657
CLPX	-0.878	-13.823	3.305	1.1159999999999999	1.5630000000000002	-2.576
CLRN1	-5.99	-14.127	0.7609999999999999	-6.781000000000001	-10.982999999999999	-31.008000000000003
CLRN2	-4.333	-6.91	-5.347	-9.638	-9.802999999999999	-18.725
CLRN3	-5.1370000000000005	-7.819	-8.526	-10.696	-10.519	-17.462
CLSPN	-0.8290000000000001	2.9360000000000004	-4.6339999999999995	-0.509	-9.656	-5.149
CLSTN1	-7.317	-7.456	-10.597999999999999	-8.11	-18.727999999999998	-17.523
CLSTN2	-0.363	-11.43	-14.261	-25.397	-19.045	-36.826
CLSTN3	-3.4619999999999997	-5.53	-12.6	-13.504000000000001	-23.944000000000003	-31.583000000000002
CLTA	-13.382	-21.691	-15.943	-19.410999999999998	-25.551	-21.866999999999997
CLTB	3.358	-8.44	-2.4819999999999998	-13.206	-13.555	-27.759
CLTC	2.273	5.847	-5.296	-3.307	-8.882	-2.272
CLTCL1	-16.586	-27.744	-3.7319999999999998	2.8689999999999998	-12.015	-17.989
CLU	-3.645	-4.11	-6.617999999999999	-20.715	-14.407	-18.828
CLUAP1	0.815	-9.408999999999999	9.914	-3.7119999999999997	1.608	-9.807
CLUH	-0.643	4.8260000000000005	-8.21	-7.593999999999999	-8.96	-5.681
CLUL1	2.404	12.333	5.642	23.715999999999998	-8.357999999999999	-12.889000000000001
CLVS1	-6.311	-12.073	-15.713	-28.206999999999997	-16.692999999999998	-22.055999999999997
CLVS2	-8.666	-18.149	-8.498	-19.531	-20.413	-38.799
CLYBL	2.2680000000000002	-0.912	3.321	-3.196	-7.045	-14.585999999999999
CMA1	-2.319	-10.418	-1.693	-7.816	-3.384	-12.462
CMAS	10.921	-6.447	9.327	-0.037000000000000005	17.945	-8.547
CMBL	-7.2	-9.831	-8.738	-13.584000000000001	-17.359	-25.701999999999998
CMC1	-2.9760000000000004	-10.123	-3.763	-14.735999999999999	0.8759999999999999	-5.2379999999999995
CMC2	-2.28	-2.004	-5.976	-5.124	-1.9409999999999998	-0.2
CMC4	-8.537	-18.039	-10.525	-19.845	-15.627	-30.894000000000002
CMIP	-10.704	-14.76	-19.397000000000002	-33.281	-19.0	-23.258000000000003
CMKLR1	2.471	0.848	-1.112	-8.214	-8.158	-14.97
CMPK1	8.419	15.339	12.47	30.615	35.641999999999996	50.419
CMPK2	-8.142999999999999	-7.65	-6.227	-3.734	-20.544	-23.124000000000002
CMSS1	-5.646	-7.547000000000001	-13.742	-13.126	-22.173000000000002	-22.754
CMTM1	-12.765999999999998	-23.346999999999998	0.386	-8.171	-15.408	0.852
CMTM2	1.923	-6.472	-2.2230000000000003	-10.164	-6.693	-17.942
CMTM3	7.08	5.513999999999999	-2.9410000000000003	-15.929	3.813	-8.475
CMTM4	-4.739	-7.074	-6.718	-2.8560000000000003	-16.684	-23.401999999999997
CMTM5	-13.619000000000002	-8.47	-13.078	-1.9509999999999998	-21.879	-6.894
CMTM6	1.56	11.638	-9.183	-13.140999999999998	-8.744	-10.884
CMTM7	-3.352	-10.894	-7.892	-18.122	-12.67	-34.071
CMTM8	-6.154	-11.581	-16.983	-18.97	-12.257	-12.637
CMTR1	2.154	5.0889999999999995	8.577	25.924	-5.382999999999999	5.919
CMTR2	6.242999999999999	-13.027999999999999	3.264	-21.603	12.780999999999999	-22.559
CMYA5	-7.971	-14.345999999999998	-15.547	-23.366	-31.688000000000002	-44.998000000000005
CNBD1	12.431	-13.39	20.976999999999997	-0.172	26.555999999999997	-13.73
CNBD2	3.1689999999999996	-11.312999999999999	5.218	-11.917	9.453	-8.847000000000001
CNBP	-2.867	7.718	-11.901	-1.383	-11.665	4.498
CNDP1	-6.156000000000001	-17.685	-10.5	-29.754	-10.869000000000002	-12.065
CNDP2	-4.894	-12.305	-3.196	-1.061	-13.312999999999999	-26.634
CNEP1R1	-0.855	-8.746	1.1740000000000002	-6.147	-9.567	-16.633
CNFN	-10.744000000000002	-3.824	-11.212	-4.189	-20.234	-5.785
CNGA1	-5.707999999999999	-5.073	-11.42	-9.242	-26.804000000000002	-41.843999999999994
CNGA2	-3.0869999999999997	-18.323	-12.302999999999999	-30.79	-12.97	-27.818
CNGA3	-0.55	-11.427	-4.816	-8.396	-10.444	-11.815
CNGA4	-12.071	-10.575999999999999	-23.076999999999998	-14.168	-27.633000000000003	-17.97
CNGB1	-1.579	-2.165	-7.4079999999999995	-6.325	-5.319	-7.742999999999999
CNGB3	-6.193	-6.145	-12.78	-9.724	-12.472000000000001	-5.867000000000001
CNIH1	1.969	-1.4169999999999998	-2.487	-6.907	-14.468	-11.652999999999999
CNIH2	-11.235999999999999	-10.595999999999998	-11.263	-15.319	-9.381	5.629
CNIH3	-2.8819999999999997	-14.517999999999999	-14.27	-23.13	-14.433	-28.655
CNIH4	-2.54	-12.417	-3.423	-22.596999999999998	-2.6910000000000003	-16.074
CNKSR1	-9.744	-21.103	-12.837	-11.73	-18.441	-30.934
CNKSR2	3.929	-10.538	-3.052	-19.918	-7.574	-35.965
CNKSR3	-5.968999999999999	-7.675	-17.051	-20.182000000000002	-18.13	-12.565999999999999
CNN1	-3.486	-8.341000000000001	-12.575999999999999	-25.558000000000003	-17.882	-36.641
CNN2	-2.9389999999999996	-8.783	-13.386	-22.304000000000002	-24.375	-36.763000000000005
CNN3	1.0390000000000001	-10.890999999999998	-9.122	-14.512	-13.948	-26.46
CNNM1	-4.683	2.873	-4.956	1.8769999999999998	-16.158	-21.883000000000003
CNNM2	2.406	-4.0760000000000005	7.376	1.912	-3.833	-12.057
CNNM3	-12.094000000000001	-18.355	-4.61	-6.281000000000001	-2.16	-3.7119999999999997
CNNM4	-9.318	-15.442	-5.263999999999999	1.5759999999999998	-30.824	-45.603
CNOT1	4.027	2.633	5.303999999999999	12.677	13.765999999999998	26.495
CNOT10	-8.078	-18.1	-15.785	-25.971999999999998	-26.67	-31.48
CNOT11	-12.613	-14.297	-13.847999999999999	-10.895999999999999	-10.139	1.8
CNOT2	3.4019999999999997	-4.643	3.045	10.458	-2.533	-11.270999999999999
CNOT3	11.392999999999999	7.797999999999999	16.168	13.245	33.349000000000004	40.523
CNOT4	2.525	8.164	2.3	5.723	4.245	6.361000000000001
CNOT6	-5.31	-13.819	-3.105	-16.954	-8.963	-20.447
CNOT6L	2.099	-3.9560000000000004	0.358	-7.5	-4.336	-11.888
CNOT7	-8.625	-7.382999999999999	-5.438	7.595	-11.059000000000001	-1.053
CNOT8	-5.209	-11.775	-14.013	-11.083	-13.950999999999999	-29.688000000000002
CNP	-9.744	-12.363	-10.357000000000001	-3.8989999999999996	-15.655999999999999	-15.392000000000001
CNPPD1	-7.317	-6.462999999999999	-14.283	-19.304000000000002	-16.195999999999998	-15.225
CNPY1	-3.052	-7.207999999999999	-15.289000000000001	-16.291	-18.337	-28.180999999999997
CNPY2	-4.681	-0.24	3.367	22.875	-1.3719999999999999	14.401
CNPY3	-5.765	-8.482999999999999	-11.379000000000001	-17.124000000000002	-13.708	-12.085
CNPY4	-3.9530000000000003	5.218999999999999	-4.641	3.0589999999999997	-18.521	-23.788
CNR1	-13.062999999999999	-12.032	-19.913	-24.245	-34.04	-29.929000000000002
CNR2	-5.7379999999999995	-3.612	-12.279000000000002	-8.997	-16.559	-23.546
CNRIP1	-4.205	-14.18	-6.77	-19.186	-12.636	-20.773000000000003
CNST	1.8530000000000002	-8.099	3.1310000000000002	-6.619	-5.932	-18.008
CNTD1	5.934	4.718	5.957000000000001	-7.38	2.502	-11.440999999999999
CNTD2	0.124	-3.955	-9.908	-9.646	-17.462	-8.814
CNTF	-6.108	-8.071	-9.441	-16.335	-14.017999999999999	-9.302999999999999
CNTFR	-8.377	-5.222	-16.444000000000003	-8.412	-25.65	-14.690999999999999
CNTLN	5.526	-4.6	-2.625	-19.023	-13.914000000000001	-34.62
CNTN1	1.14	-2.354	6.507999999999999	1.4409999999999998	-10.177	-26.398000000000003
CNTN2	-9.684	-10.513	-6.729	-12.547	-10.26	-14.963
CNTN3	-10.864	-15.844000000000001	-16.35	-25.951	-26.726	-28.596
CNTN4	-3.145	-6.0089999999999995	-4.371	-4.12	-16.542	-31.037
CNTN5	-3.467	-6.405	-8.086	-10.981	-10.004	-22.598000000000003
CNTN6	-5.0569999999999995	-13.936	-3.7310000000000003	-12.905	-21.475	-40.793
CNTNAP1	-13.115	-4.015	-15.975	-20.611	-32.616	-25.701999999999998
CNTNAP2	5.077	-2.675	4.977	-7.523	-2.5639999999999996	-28.337
CNTNAP3	-1.972	-2.272	-0.182	-3.417	-5.763999999999999	-10.49
CNTNAP4	-7.489	-18.349	-11.575999999999999	-20.137999999999998	-24.480999999999998	-30.99
CNTNAP5	-0.406	-10.299000000000001	-5.645	-40.004	-15.475	-48.541000000000004
CNTRL	9.196	-13.922	5.982	-12.523	7.885	-11.499
CNTROB	-0.919	-7.106	-10.495	-4.622	-27.506999999999998	-32.521
COA1	-3.063	-11.658	-6.678999999999999	-13.257	-18.42	-31.141
COA3	10.582	30.910999999999998	25.535	43.997	18.682000000000002	42.545
COA4	-6.126	-2.301	-17.447	-17.244	-14.623	-18.703
COA5	-4.254	-2.206	-9.288	-0.777	-12.795	1.014
COA6	2.331	11.052	3.4160000000000004	16.516	15.777000000000001	41.006
COASY	5.65	13.369000000000002	18.891	29.682	42.818999999999996	51.808
COBL	-1.442	-6.4910000000000005	-10.626	-23.078000000000003	-11.577	-30.366999999999997
COBLL1	-1.729	-3.3	-10.618	-18.102999999999998	-7.896	-16.739
COCH	2.6710000000000003	-2.995	-3.7560000000000002	-11.311	-2.206	-11.363
COG1	1.268	4.504	-12.4	-7.893	-0.308	3.605
COG2	0.207	-9.291	-0.617	-14.539000000000001	-2.923	-22.338
COG3	4.965	6.309	2.1790000000000003	-1.8259999999999998	-5.808	-7.34
COG4	-4.354	-3.685	-14.332	-18.347	-17.483	-12.953
COG5	-5.417999999999999	-2.549	2.861	5.928999999999999	-16.698	-22.769000000000002
COG6	1.196	-5.229	11.847000000000001	11.299000000000001	-4.138999999999999	-8.293
COG7	1.608	-6.7589999999999995	-4.582	-22.009	3.387	-4.2010000000000005
COG8	-1.197	12.199000000000002	-1.181	7.827000000000001	-5.2170000000000005	11.057
COIL	-3.043	5.32	-8.344	-4.258	-4.833	-1.642
COL10A1	-3.09	-5.529	-8.968	-15.513	-8.53	-14.277000000000001
COL11A1	-7.375	-8.147	-8.548	-16.680999999999997	-18.19	-27.26
COL11A2	-2.0669999999999997	-1.858	-2.895	-10.511	-8.965	-25.44
COL12A1	-2.9189999999999996	-13.895999999999999	-4.875	-14.97	-5.345	-23.088
COL13A1	0.4	-16.977999999999998	4.257	-10.011000000000001	-3.5180000000000002	-14.350999999999999
COL14A1	0.079	-16.023	2.7539999999999996	-8.368	-6.939	-38.787
COL15A1	-9.411	-10.683	-26.67	-33.132	-29.68	-31.535
COL16A1	-13.234000000000002	-1.867	-17.535999999999998	-19.25	-17.428	-20.101
COL17A1	-2.7880000000000003	-8.779	-10.463	-16.986	-22.435	-20.703000000000003
COL18A1	-4.598	-12.949000000000002	-4.5569999999999995	-8.164	-10.074	-17.258
COL19A1	7.454	-4.8580000000000005	4.075	-22.235	0.376	-28.244
COL1A1	-0.698	12.425	-7.3870000000000005	-1.912	3.6039999999999996	9.61
COL1A2	-5.734	-8.204	-5.814	-9.703	-22.123	-39.708
COL20A1	-7.513	-6.029	-9.468	-17.012999999999998	-20.254	-18.430999999999997
COL21A1	-1.4569999999999999	-25.194000000000003	-1.699	-10.52	-8.538	-28.230999999999998
COL22A1	-5.928	-6.956	-18.23	-20.872	-33.543	-45.463
COL23A1	-8.781	-16.186	-8.097999999999999	-15.157	-21.95	-22.633000000000003
COL24A1	-7.468999999999999	-9.818999999999999	-3.674	-11.834000000000001	-24.803	-33.598
COL25A1	3.295	-12.715	-0.695	-20.517	-0.425	-26.618000000000002
COL27A1	-14.915	-13.948	-23.166999999999998	-19.75	-29.33	-25.063000000000002
COL28A1	-3.0460000000000003	-12.008	-14.052999999999999	-26.119	-21.264	-36.153
COL2A1	-3.572	-11.253	-4.0089999999999995	-11.829	-21.781	-38.154
COL3A1	-5.311	-13.498	-10.207	-16.219	-4.73	-6.726
COL4A1	-10.605	-9.61	-19.944000000000003	-16.519000000000002	-15.264000000000001	-14.255
COL4A2	-13.055	-11.134	-22.616999999999997	-24.934	-19.573	-19.69
COL4A3	-5.14	-9.095	-2.8489999999999998	-15.144	-9.379	-11.482999999999999
COL4A3BP	3.037	-3.688	4.353	13.395999999999999	-8.357000000000001	-17.180999999999997
COL4A4	-3.26	-5.172000000000001	-7.187	-9.332	-16.410999999999998	-19.382
COL4A5	-2.487	-14.172	-14.109000000000002	-30.864	-13.194	-33.108000000000004
COL4A6	-2.543	-8.381	-5.237	-10.16	-13.54	-18.022000000000002
COL5A1	-12.525	-19.948	-18.035	-21.866999999999997	-12.033	-13.317
COL5A2	2.247	-8.219	-1.7690000000000001	-22.116999999999997	-6.68	-25.773000000000003
COL5A3	-11.082	-13.194	-17.362000000000002	-25.675	-30.57	-33.951
COL6A1	-2.01	-5.92	-11.845999999999998	-23.627	-12.839	-27.576999999999998
COL6A2	-9.64	-1.795	-2.241	8.781	-29.953000000000003	-36.174
COL6A3	-12.366	-20.334	-8.476	2.483	-17.538	-27.285999999999998
COL6A6	-9.75	-6.76	-9.935	-7.5120000000000005	-18.165	-7.88
COL7A1	-12.423	-14.937000000000001	-17.743	-17.83	-23.294	-24.805
COL8A1	-1.402	-1.6440000000000001	2.056	-8.192	-12.742	-29.649
COL8A2	-5.867999999999999	-3.3339999999999996	-5.439	-3.162	-8.429	8.686
COL9A1	-8.805	-8.753	-6.267	-2.037	-21.764	-18.903
COL9A2	-7.3629999999999995	-5.194	-14.162	-13.388	-19.581	-20.340999999999998
COL9A3	2.106	7.704	-4.03	-9.642000000000001	0.664	2.524
COLCA1	-3.228	-13.902000000000001	-9.545	-11.755	-15.335	-28.706999999999997
COLCA2	-1.249	-2.818	-5.319	-12.873	-9.836	-10.464
COLEC10	4.292	-15.823	1.0659999999999998	-10.3	-4.132	-31.436
COLEC11	-4.308	-9.107999999999999	-11.665	-14.379000000000001	-18.655	-16.413
COLEC12	-1.567	-0.039	-14.272	-11.251	-28.781	-28.094
COLGALT1	-0.244	-3.485	-4.308	-15.405	-11.47	-19.586
COLGALT2	-2.97	-5.93	-13.312999999999999	-19.5	-14.9	-19.996
COLQ	-2.0	-10.255	-9.217	-11.579	-23.059	-20.980999999999998
COMMD1	-6.26	-7.442	-9.555	-21.225	-13.117	-14.302999999999999
COMMD10	3.9130000000000003	1.261	-4.39	-18.6	-4.3180000000000005	-0.45899999999999996
COMMD2	-5.379	-5.233	-10.201	-14.708	-14.965	-15.927
COMMD3	-6.071000000000001	-11.850999999999999	-20.808000000000003	-21.701	-18.528	-22.246
COMMD4	-11.277999999999999	-5.997000000000001	-10.789000000000001	-8.545	-12.715	6.377000000000001
COMMD5	2.917	-5.039	1.99	-0.09699999999999999	-3.549	-14.965
COMMD6	-1.178	0.735	-13.517000000000001	-9.583	-8.101	-1.321
COMMD7	-9.719	-12.597000000000001	-8.857999999999999	-13.062000000000001	-24.704	-30.967
COMMD8	-6.086	-1.895	-8.156	-16.35	-13.7	-12.45
COMMD9	-10.466	-10.027999999999999	-6.9639999999999995	-7.13	-15.42	-13.012
COMP	-6.504	-13.514000000000001	-1.694	8.179	-12.386	-11.304
COMT	-2.862	-14.568	-4.255	-1.516	-4.072	-5.029
COMTD1	-2.385	2.9589999999999996	-1.429	4.258	-14.633	-9.652999999999999
COPA	1.8780000000000001	16.832	3.762	14.261	19.87	32.523
COPB1	12.535	14.808	16.676	19.282	24.11	25.46
COPB2	10.82	4.979	18.486	20.317	25.430999999999997	38.029
COPE	-0.846	4.865	-0.12300000000000001	18.855999999999998	4.909	29.148000000000003
COPG1	0.61	-3.048	4.803999999999999	1.788	3.278	-1.358
COPRS	4.756	5.235	-0.951	-6.005	3.39	1.9040000000000001
COPS2	7.489	-1.016	7.707999999999999	3.693	20.820999999999998	11.818
COPS3	-0.555	4.81	-13.633	-13.5	6.222	22.51
COPS4	-3.053	-2.835	-1.273	0.845	2.3169999999999997	9.103
COPS5	8.676	9.18	0.841	-9.289	28.246	21.986
COPS6	8.558	37.889	9.658	30.427	41.349	77.852
COPS7A	-4.041	-9.958	-13.866	-22.395	-17.587	-21.399
COPS7B	-2.738	-6.028	-9.919	-21.365	-23.124000000000002	-28.791999999999998
COPS8	7.3420000000000005	16.852	-4.761	-4.106	14.232999999999999	19.854
COPZ1	-1.244	-4.458	-6.01	-15.919	-8.329	-6.867000000000001
COQ10A	0.266	-9.669	3.988	4.606	-8.355	-32.628
COQ10B	-5.232	-10.197000000000001	-6.747000000000001	-7.949	-19.355999999999998	-22.81
COQ2	3.7239999999999998	13.74	3.12	23.088	-2.5669999999999997	25.755
COQ3	1.4240000000000002	2.79	-4.746	-6.715	-0.017	7.707999999999999
COQ4	-1.028	8.599	-2.294	9.0	-0.466	11.137
COQ5	1.5490000000000002	-7.982	5.591	1.113	14.231	17.402
COQ6	-5.1339999999999995	-2.8739999999999997	-3.9410000000000003	7.546	-0.9329999999999999	10.059
COQ7	-12.814	-6.417000000000001	-14.362	-23.871	-15.248	-8.946
COQ9	-0.982	5.936	-3.103	1.5	7.579	12.765999999999998
CORIN	-0.945	4.044	-13.040999999999999	-14.677	-29.59	-43.963
CORO1A	-5.707000000000001	-11.109000000000002	-4.613	-8.526	-8.392000000000001	2.591
CORO1B	-15.404000000000002	-16.977	-18.608	-19.711	-30.713	-25.44
CORO1C	-5.461	-12.002	-3.2319999999999998	-11.386	-10.411	-12.42
CORO2A	-11.839	-7.101	-24.166	-19.561	-44.07899999999999	-49.122
CORO2B	-2.719	-6.992999999999999	0.568	-2.535	-12.409	-12.288
CORO6	-6.63	-6.275	-7.952999999999999	-6.78	-10.683	-3.682
CORT	-7.555	-5.861000000000001	-8.293	-5.742999999999999	-11.993	-8.829
COTL1	-4.8	-1.402	-5.489	2.167	-15.277999999999999	1.651
COX10	0.1	10.204	5.223	11.550999999999998	8.978	38.842
COX11	-2.589	4.997	-2.4930000000000003	11.003	1.317	37.479
COX14	1.304	-20.395	18.109	9.497	9.74	8.976
COX15	2.555	4.131	2.228	6.106	15.63	36.236
COX16	-0.91	3.228	-8.798	-14.761	-5.306	4.885
COX17	5.678999999999999	19.074	11.067	12.994000000000002	37.678000000000004	41.265
COX18	-5.529	-13.265999999999998	-6.189	-18.262999999999998	-26.718000000000004	-31.862
COX19	-6.117999999999999	-0.878	-6.7	-2.553	-12.950999999999999	4.156000000000001
COX20	2.136	5.074	2.7	2.03	-2.657	3.841
COX4I1	-3.608	-9.468	-3.575	-10.475999999999999	3.7	10.433
COX4I2	-6.754	-9.447000000000001	-11.107999999999999	-8.747	-17.755	-14.737
COX5A	9.207	26.241999999999997	12.186	36.993	38.668	49.442
COX5B	-2.307	15.899000000000001	10.325	29.787	16.521	48.497
COX6A1	-9.335	-8.135	-10.872	-10.505999999999998	-17.472	-16.163
COX6A1P2	-10.32	-21.875999999999998	-11.962	-8.461	-13.741	-10.956
COX6A2	-6.426	-14.327	-1.475	-2.572	-19.16	-30.307
COX6B1	-3.463	6.114	1.675	15.234000000000002	10.345	21.421999999999997
COX6B2	-14.165999999999999	-4.573	-13.439	3.807	-26.142	-8.7
COX6C	-3.681	-4.662	-8.506	-7.102	-12.901	-11.286
COX7A1	-3.753	-7.692	-15.960999999999999	-30.976	-18.506	-25.701
COX7A2	2.13	-5.228	-5.561	-24.339000000000002	18.18	12.869000000000002
COX7A2L	-6.4479999999999995	-12.665999999999999	-6.904	-6.237	-16.123	-12.952
COX7B	-1.4969999999999999	-5.972	6.364	8.15	-2.148	-0.898
COX7B2	-10.94	-19.732	-19.505	-23.685	-22.944000000000003	-26.041
COX7C	18.375	43.931000000000004	37.21	39.638000000000005	40.302	65.431
COX8A	-11.078	-2.293	-20.935	-11.925	-29.854	-14.984000000000002
COX8C	-1.399	3.513	-13.18	-21.826	-16.149	-23.875
CP	1.746	-5.97	-3.812	-17.726	-7.95	-14.757
CPA1	-8.147	-10.169	-17.223	-21.894000000000002	-20.918000000000003	-12.735
CPA2	-4.386	-9.664	-13.222999999999999	-22.941	-16.902	-23.746
CPA3	-1.7919999999999998	-7.65	-5.94	-20.070999999999998	-6.37	-19.297
CPA4	-4.319	-19.574	-14.561	-25.551	-12.082	-25.221
CPA5	-15.559000000000001	-34.297	-6.468	3.28	-18.057000000000002	-24.215
CPA6	-8.728	-10.163	-6.042000000000001	1.2309999999999999	-19.015	-10.002
